callsign,contour_type,area,filename,lat,lon,frequency,power,region,state,city,owner
KRKK,day_2,0.8697122036246583,KRKK_2_D_as1.kml,41.62,-109.238888888889,1360.0,5.0,Rockies,WY,ROCK SPRINGS,"BIG THICKET BROADCASTING COMPANY OF WYOMING, INC."
WWGP,day_2,0.1106660413206555,WWGP_2_D_as1.kml,35.4405555555556,-79.2147222222222,1050.0,0.161,Southeast,NC,SANFORD,SANDHILLS BROADCASTING GROUP LLC
KBBW,night_2,2.424611186957918,KBBW_2_N_as1.kml,31.5683333333333,-97.0002777777778,1010.0,10.0,Gulf Coast,TX,WACO,
KSRM,day_2,2.6054302523843944,KSRM_2_D_as3.kml,60.5130277777778,-151.190833333333,920.0,5.0,Alaska,AK,SOLDOTNA,"KSRM Radio Group, Inc."
KYMO,day_2,0.3029194315895438,KYMO_2_D_as1.kml,36.797,-89.3553611111111,1080.0,0.5,Mid-South,MO,EAST PRAIRIE,"DELTA BROADCASTING, LLC"
WLVA,day_0.5,0.6784611303592101,WLVA_0.5_D_as1.kml,37.4209722222222,-79.1150277777778,580.0,0.25,Mid-Atlantic,VA,LYNCHBURG,BRENT EPPERSON
WVVB,day_0.5,0.14933749043848366,WVVB_0.5_D_as1.kml,35.8802777777778,-84.5155555555556,1410.0,0.5,Mid-South,TN,KINGSTON,"3B TENNESSEE, INC."
WLEW,day_2,0.4520198586396873,WLEW_2_D_as1.kml,43.8008611111111,-83.023,1340.0,1.0,Great Lakes,MI,BAD AXE,"THUMB BROADCASTING, INC."
WQOM,night_2,2.4848041593795642,WQOM_2_N_as1.kml,42.2473055555556,-71.4247777777778,1060.0,50.0,Northeast,MA,NATICK,Holy Family Communications
WMPW,night_2,0.23892731266096234,WMPW_2_N_as1.kml,36.5595833333333,-79.3669722222222,970.0,1.0,Mid-Atlantic,VA,DANVILLE,"LAKES MEDIA, LLC"
WAEB,day_2,0.6327561138896272,WAEB_2_D_as1.kml,40.6603888888889,-75.5135277777778,790.0,3.6,Great Lakes,PA,ALLENTOWN,"IHM LICENSES, LLC"
